a1,a2,a3,b1,b2,b3,c1,c2,c3,prop
0.9431409990347434,0.2350372905952632,0.2350372905952632,0.9008587936864817,0.3830041082982888,0.20435578500841792,0.8018311462241294,0.3321292979400085,0.496746356194307,0.2
0.9565545671507147,0.20615935593715873,0.20615935593715873,0.9060620372498841,0.387820583449207,0.16925359584032998,0.7853206365252828,0.3252904216744352,0.5267424792201332,0.24500000000000002
0.9682006164392534,0.17690048943714698,0.17690048943714698,0.909984390413312,0.3923734521736712,0.13405776076983836,0.7677922023106997,0.3180299073166532,0.556194311490126,0.29000000000000004
0.9780576299394956,0.14731475233778024,0.14731475233778024,0.9126099957078476,0.3967030931652797,0.09884154780269229,0.7492440961745328,0.3103470310675434,0.5850794857848931,0.335
0.9861073952360687,0.11745681134052437,0.11745681134052437,0.9139275582091662,0.40085069471832097,0.06367997246857618,0.7296723646868438,0.3022401553629926,0.6133751940658924,0.38
0.9923350387856689,0.0873818367797315,0.0873818367797315,0.9139305584216827,0.40485814407840937,0.028649913505489545,0.709070472669421,0.2937065732438591,0.6410581203230665,0.42500000000000004
0.9967290536670379,0.05714540035737454,0.05714540035737454,0.9126175110480332,0.4087679206630399,-0.006169725424965882,0.68742883414354,0.2847423140681958,0.6681043425932691,0.47000000000000003
0.9992813209685524,0.026803372307037162,0.026803372307037162,0.9099922842812953,0.4126229903818095,-0.040697790330364976,0.6647342268026285,0.27534190097791383,0.6944891975552295,0.5150000000000001
0.9999871248679529,-0.0035881819363525465,-0.0035881819363525465,0.9060644989985727,0.4164667036893739,-0.07485057370051883,0.6409690599340617,0.2654980476620962,0.7201870943743338,0.56
0.9988451612893597,-0.033973105265101465,-0.033973105265101465,0.9008500365310652,0.42034269043999234,-0.10854140002820171,0.6161104542379735,0.2552012772055125,0.7451712663351538,0.605
0.9958575404733421,-0.06429525285896498,-0.06429525285896498,0.8943716884874245,0.4242947571695896,-0.14168006766195126,0.5901290774078515,0.24443943977036356,0.7694134339156536,0.6500000000000001
0.9910297829887302,-0.09449859582170313,-0.09449859582170313,0.8866600064270422,0.4283667975981002,-0.17417210065504604,0.5629876577507835,0.23319709691769844,0.792883352840211,0.6950000000000001
0.9843708095734531,-0.1245273247610837,-0.1245273247610837,0.8777544233420209,0.43260266789874335,-0.20591771361425779,0.5346390671892732,0.2214547275608571,0.8155482030234932,0.74
0.9758929246908125,-0.1543259529611556,-0.1543259529611556,0.8677047603441176,0.43704608508261866,-0.2368104066848181,0.5050238192404465,0.20918769159464173,0.8373717523756334,0.7850000000000001
0.9656117936635867,-0.18383941875337706,-0.18383941875337706,0.8565732786035851,0.44174048731875587,-0.26673500300214065,0.47406675697121764,0.19636485800158232,0.8583132018357429,0.8300000000000001
0.9535464139969105,-0.2130131875839046,-0.2130131875839046,0.8444375237833838,0.44672885390064826,-0.29556487955241356,0.44167259896606087,0.18294675993158913,0.8783255651233931,0.875
0.939719080039512,-0.24179335249794312,-0.24179335249794312,0.8313943530651481,0.45205346656686707,-0.3231579999968327,0.40771983960631947,0.1688830681152015,0.8973533538678282,0.9200000000000002
0.924155341697139,-0.2701267336383233,-0.2701267336383233,0.8175657340839346,0.4577555053267814,-0.3493510664576922,0.3720522165927204,0.15410905659609267,0.9153292013122399,0.9650000000000001
0.9068839575540023,-0.2979609769118964,-0.2979609769118964,0.8031073425865838,0.463874385712237,-0.37395073319027733,0.33446648108215626,0.13854053695643134,0.932168811199659,1.01
0.8879368415659118,-0.325244650527326,-0.325244650527326,0.7882216338614745,0.47044654531653696,-0.3967199313275561,0.29469435558875934,0.12206638503565836,0.9477631742328065,1.0550000000000002
0.8673490040299867,-0.35192733995787207,-0.35192733995787207,0.773178421646894,0.477503138526522,-0.41735582047941117,0.2523749874550918,0.1045371307859476,0.9619661397271365,1.1
