species,prob_excl_mean,prob_excl_lowerCI,prob_excl_upperCI
sp_1,0.008945547067073456,0.008820534477215288,0.009075292550187413
sp_2,0.008954747788569516,0.008824569231303552,0.009085463808748293
sp_3,0.01626932305073686,0.016079144343437712,0.016464561653564445
sp_4,0.14950168237491837,0.1489329962995786,0.15006720323224254
sp_5,0.01968908127888898,0.019457517463488592,0.019917274569770816
sp_6,0.05825879413592999,0.057852913498222656,0.05866520455376739
sp_7,0.02363433019590164,0.0233960841264878,0.023873686891170948
sp_8,0.056116189225474,0.055737308675889566,0.056500492573707484
sp_9,0.023526363730454764,0.023282751369017793,0.02377200271488262
sp_10,0.031684538461834534,0.03140984712421113,0.03196560574615095
sp_11,0.11692642435417967,0.11630745711150271,0.11754263351405224
sp_12,0.01959620970948793,0.01935535092433417,0.01984762511621125
sp_13,0.03176681300775763,0.0314442260401284,0.0320952158816751
sp_14,0.29074221025500485,0.2900449183490193,0.29142674207916447
sp_15,0.14438774536378782,0.14382184855132363,0.14496497094841893
